Produto,Referência,Preço venda,Preço revenda,Quantidade,Codigo de barras
AM-8509 - CAIXA DE SOM BLUETOOTH COM DOIS MICROFONES SEM FIO 100W,AM-8509,220,290,4,7898823985092
RLD-25883 - RALADOR DE ALIMENTOS,RLD-25883,10,15,4,7908224344647
MD-12268 - CAIXA DE SOM BLUETOOTH ALTO FALANTE MULTIMÍDIA,MD-12268,110,170,4,7893095421750
S5002 - SOONBOX XBASS CAIXA DE SOM BLUETOOTH GRANDE,S5002,600,800,4,1000000936612
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
PEI-EP310 - FONE DE OUVIDO COM MICROFONE PEINING,PEI-EP310,7,15,4,1000000991017
KV-142 - ESCALA DE PESO,KV-142,55,80,4,7899085589028
ROU-6004 - ROTEADOR INOVA,ROU-6004,100,150,4,7897473113978
ABQ- A1D - CAMERA DE VIGILANCIA WIFI,ABQ- A1D,300,400,4,20190924000001
TY-34 - FONTE DE ALIMENTAÇÃO TOSHIBA,TY-34,40,60,4,1000001108360
KV-001 - CABO TUBETE 1M V8,KV-001,5,10,4,7899085122027
BA-MD-12340 - MOCHILA DE COSTAS,BA-MD-12340,60,95,4,7893095510072
LE-2415 - FONE DE OUVIDO,LE-2415,45,70,4,7908125208246
COD-003 - FILTRO DE LINHA ELETRO G2 3 TOMADAS,COD-003,15,30,4,788115651125
CANETA TOUCH IPH S/BARRA 12147/A2051,12147/A2051,75,120,4,
U-985 - CORTADOR DE CABELO,U-985,62,100,4,
MD-30262 SUPORTE DE TELA DE COMPUTADOR,MD-30262,145,230,4,7893095422832
MD-30264 MONTAGEM DE MONITOR COM SUPORTE PARA LAPTOP,MD-30264,160,250,4,7893095423013
LAVADOURA DE PRESSÃO KA-1493,KA-1493,210,280,5,7897717514936
KV-8778 FONE DE OUVIDO,KV-8778,40,70,5,7898070365524
RAD-1063 - CAIXA DE SOM AMPLIFICADA C/ ENTRADA P/ MICROFONE,RAD-1063,80,120,5,7908346264403
PEI-P818 - FONE DE OUVIDO BLUETOOTH PEINING,PEI-P818,26,40,5,7814527452173
MD-12266 - CAIXA DE SOM ALTO FALANTE PORTÁTIL,MD-12266,210,300,5,7893095422306
MD-30224- VENTILADOR DE MESA,MD-30224,26,40,5,7893095421712
WD02 - GARRAFA TÉRMICA C/LEITOR DIGITAL 500ML,WD02,20,30,5,1000000997255
CAM-7268 - CAMERA DE SEGURANÇA,CAM-7268,72,100,5,7897473118133
KV-145 - BALANÇA DE COZINHA,KV-145,30,50,5,7899085589059
KV-541/KV-537 - KIT RING LIGHT + TRIPÉ,KV-541/KV-537,45,70,5,
FON-8730 - FONE DE OUVIDO PARA JOGOS,FON-8730,28,55,5,7893595552442
PROTECT-1500VA - PROTETOR MULTIFUNCIONAL BIVOLT,PROTECT-1500VA,195,250,5,
PROTECT-500V - PROTETOR MULTIFUNCIONAL BIVOLT,PROTECT-500V,130,180,5,
KA-0015 - CAIXA DE SOM KAPBOM XTREEM3 MINI LED,KA-0015,90,130,5,
JB950 - FONE DE OUVIDO,JB950,40,0,5,624241653094
BA-RAD037 CAIXA DE SOM BLUETOOTH RGB,BA-RAD037,295,400,5,7893095510812
M-1666 MEGAPHONE E AUTOFALANTE,M-1666,70,110,6,1113111131095
LAN-8504 LUMINÁRIA DE MESA INOVA,LAN-8504,50,80,6,7893590425307
KV-358 LUMINÁRIA BOLA,KV-358,45,70,6,7898070365845
PEI-WS11 CARREGADOR SEM FIO 3 EM 1,PEI-WS11,140,200,6,7893008812668
LX-25111 - LIXEIRA DE AÇO INOX 12L,LX-25111,80,100,6,7908224319003
RAD-20234 - MINI RÁDIO RESISTENTE Á AGUA,RAD-20234,40,75,6,7899085711849
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
PEI-185 - FONTE PARA CARREGAODR RÁPIDA 3.1A PEINING,PEI-185,8,20,6,7893008813429
TY-36 - FONTE DE ALIMENTAÇÃO SAMSUNG,TY-36,40,60,6,1000001107219
DVR-7279 - DVR INOVA 16 CANAIS,DVR-7279,340,450,6,7897473118225
DVR-7281 - DVR INOVA 8 CANAIS,DVR-7281,330,440,6,7897473118201
KV-327 - ANTENA DIGITAL TV,KV-327,18,40,6,7898070364817
KV-126 - CABO 1.2M TC,KV-126,3,8,6,
FON-6748 - FONE DE OUVIDO DA BASIKE,FON-6748,10,20,6,7899085127008
KAP-T33 - ADAPTADOR BLUETOOTH,KAP-T33,4,10,6,7891587516830
